h3_9,rec_win_start,rec_peak_hour,window_capture,rec_window,dom_location
8960145ad2bffff,3,4,1.0,03:00–05:00,"Kommaghatta Road, Arunachalam Layout, BSM Extension, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)"
8960145ad53ffff,10,11,0.387,10:00–12:00,"Kengeri Main Road, Hoyasala Circle, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)"
8960145ad57ffff,12,13,1.0,12:00–14:00,"Kengeri Main Road, Hoyasala Circle, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)"
8960145ad63ffff,5,6,1.0,05:00–07:00,"3rd Main Road, DS Max Star Nest, SMV Layout, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)"
8960145ad83ffff,9,9,0.625,09:00–11:00,"Bangalore-Mysore Road, Mylasandra, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8960145ad87ffff,8,9,0.388,08:00–10:00,"Kengeri Magadi Road, Police Quarters, Stage 1, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)"
8960145ad8bffff,11,12,1.0,11:00–13:00,"1st Main Road, Kengeri, Bengaluru, Karnataka. Pin-560060 (India)"
8960145ad8fffff,5,9,0.278,05:00–07:00,"Kengeri Main Road, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)"
8960145ad9bffff,10,11,0.819,10:00–12:00,"Mysore Road, Nathamkaiamcheri, Kengeri, Bengaluru, Karnataka. Pin-560059 (India)"
8960145add3ffff,11,12,1.0,11:00–13:00,"5th Cross Road, Prince Ville, Mylasandara, Bengaluru, Karnataka. Pin-560059 (India)"
8960145add7ffff,11,12,1.0,11:00–13:00,"Mysore Road, Ranka Aqua Greens, Harsha Layout, Kengeri, Bengaluru, Karnataka. Pin-560060 (India)"
8960145ae03ffff,3,4,1.0,03:00–05:00,"Gandhi Marg, Bangalore University, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)"
8960145ae23ffff,10,11,1.0,10:00–12:00,"4th Cross Road, Jnana Ganga Nagar, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)"
8960145ae2bffff,9,10,0.571,09:00–11:00,"Ullal Main Road, HMR Layout, Jnana Jyothi Nagar, Bengaluru, Karnataka. Pin-560056 (India)"
8960145ae2fffff,9,10,1.0,09:00–11:00,"Ullal Main Road, Muneshwara Layout, Jnana Jyothi Nagar, Bengaluru, Karnataka. Pin-560056 (India)"
8960145ae37ffff,10,6,0.464,10:00–12:00,"Kengeri Main Road, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)"
8960145ae3bffff,10,11,1.0,10:00–12:00,"Bangalore University Road, Bangalore University, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)"
8960145ae4bffff,11,12,0.489,11:00–13:00,"2nd Cross Road, Sri Gurukrupa Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)"
8960145ae6bffff,13,14,0.75,13:00–15:00,"1st Cross Road, Mallathahalli New Extension, Mallathahalli, Bengaluru, Karnataka. Pin-560056 (India)"
8960145ae77ffff,10,11,0.533,10:00–12:00,"2nd Main Road, Ullal Junction, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)"
8960145b003ffff,10,8,0.415,10:00–12:00,"Sri Sri Sri Balagangadharanatha Swamy Road, Krishna Block, Malleshwaram, Bengaluru, Karnataka. Pin-560020 (India)"
8960145b007ffff,10,10,0.384,10:00–12:00,"Sri Venkataranga Ayangar Road, Mill Corner Junction, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)"
8960145b00bffff,7,8,0.61,07:00–09:00,"7th Cross Road, Sangeetha Apartment, Kadumalleshwara, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
8960145b00fffff,8,8,0.437,08:00–10:00,"Sri Venkataranga Ayangar Road, Shivanandappa Layout, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
8960145b013ffff,8,9,0.567,08:00–10:00,"J Lingaiah Road, Unishire Pratyaksh, Kumara Park West, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)"
8960145b017ffff,8,11,0.395,08:00–10:00,"Sirur Park Road, Shri Rajiv Gandhi Circle, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)"
8960145b01bffff,9,10,0.617,09:00–11:00,"J Lingaiah Road, Renaissance Crags, Chakrawarti Iyengar Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)"
8960145b023ffff,9,10,0.952,09:00–11:00,"1st Cross Road, Sri Chowdeshwari Devi Circle, Srirampuram, Bengaluru, Karnataka. Pin-560021 (India)"
8960145b02bffff,9,10,0.536,09:00–11:00,"5th Cross Road, Subhash Nagar, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
8960145b02fffff,8,9,0.523,08:00–10:00,"4th Main Road, Nagappa Block, Srirampuram, Bengaluru, Karnataka. Pin-560021 (India)"
8960145b033ffff,7,8,0.405,07:00–09:00,"1st Cross Road, Sunrise Arunachalan Circle, Srirampuram, Bengaluru, Karnataka. Pin-560021 (India)"
8960145b037ffff,0,1,1.0,00:00–02:00,
8960145b03bffff,8,8,0.667,08:00–10:00,"Railway Parallel Road, Bhashyam Nagar, Srirampuram, Bengaluru, Karnataka. Pin-560021 (India)"
8960145b043ffff,8,9,0.909,08:00–10:00,"2nd Main Road, Maruti Extension Vyalikaval, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
8960145b047ffff,6,7,0.967,06:00–08:00,"2nd Main Road, Sudhindra Nagar, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
8960145b04bffff,8,11,0.455,08:00–10:00,"2nd Main Road, Margosa 18th Cross Junction, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
8960145b053ffff,9,9,0.583,09:00–11:00,"J Lingaiah Road, Kempanna Block, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)"
8960145b063ffff,10,10,0.347,10:00–12:00,"Sri Venkataranga Ayangar Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
8960145b067ffff,14,14,0.679,14:00–16:00,"4th Main Road, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
8960145b06bffff,7,8,0.438,07:00–09:00,"15th Cross Road, Malleshwara Extension, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)"
8960145b06fffff,9,10,0.435,09:00–11:00,"4th Main Road, Paresh Apartment, Kadumalleshwara, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
8960145b073ffff,10,10,0.441,10:00–12:00,"Sri Venkataranga Ayangar Road, RR Palace, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
8960145b077ffff,10,10,0.525,10:00–12:00,"Siddavanahalli Krishna Sharma Road, Parisara Organic Junction, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
8960145b07bffff,10,10,0.448,10:00–12:00,"Sri Venkataranga Ayangar Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
8960145b083ffff,10,11,0.704,10:00–12:00,"Harekrishna Road, Kumara Park East, Seshadripuram, Bengaluru, Karnataka. Pin-560001 (India)"
8960145b087ffff,10,11,0.381,10:00–12:00,"Padmabhushan Dr RK Srikantan Road, VV Giri Colony, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)"
8960145b08bffff,10,10,0.527,10:00–12:00,"Anna Basavanna Road, Tele Communication Employees Cooperative Society Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)"
8960145b08fffff,10,10,0.4,10:00–12:00,"Padmabhushan Dr RK Srikantan Road, Seshadripuram Police Station Junction, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)"
8960145b093ffff,10,8,0.393,10:00–12:00,"Dr MH Ambarish Road, Padmashree RMP Aaradhya Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
8960145b097ffff,7,8,0.434,07:00–09:00,"Kumar Krupa Road, Padmashree RMP Aaradhya Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
8960145b09bffff,7,8,0.513,07:00–09:00,"North Park Road, Sri Katan Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560001 (India)"
8960145b0a3ffff,11,11,0.737,11:00–13:00,"5th Main Road, Nagendrappa Garden, Srirampuram, Bengaluru, Karnataka. Pin-560021 (India)"
8960145b0a7ffff,8,9,0.909,08:00–10:00,"Okalipuram, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560021, India"
8960145b0abffff,10,11,1.0,10:00–12:00,"Deena Seva Sangh Road, Shri Rajiv Gandhi Circle, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)"
8960145b0afffff,8,8,0.556,08:00–10:00,"5th Main Road, Sunrise Circle, Srirampuram, Bengaluru, Karnataka. Pin-560021 (India)"
8960145b0b3ffff,10,10,0.64,10:00–12:00,"Deena Seva Sangh Road, Old Mysore Road Junction, Seshadripuram, Bengaluru, Karnataka. Pin-560023 (India)"
8960145b0b7ffff,9,6,0.333,09:00–11:00,"5th Main Road, Platform Road Junction, Sevashrama, Bengaluru, Karnataka. Pin-560023 (India)"
8960145b0bbffff,7,7,0.466,07:00–09:00,"Deena Seva Sangh Road, PNR Nagar, Sevashrama, Bengaluru, Karnataka. Pin-560020 (India)"
8960145b0c3ffff,9,10,1.0,09:00–11:00,"Anna Basavanna Road, DK Subbaiah Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)"
8960145b0c7ffff,9,10,1.0,09:00–11:00,"Anna Basavanna Road, Kumara Park West, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)"
8960145b0cbffff,9,10,0.604,09:00–11:00,"Anna Basavanna Road, RV Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)"
8960145b0cfffff,11,11,0.484,11:00–13:00,"J Lingaiah Road, DN Ramaiah Layout, PG Halli, Bengaluru, Karnataka. Pin-560020 (India)"
8960145b0d3ffff,3,4,1.0,03:00–05:00,"Cunningham Road, The Summit, Abshot Layout, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
8960145b0d7ffff,12,13,0.6,12:00–14:00,"Crescent Road, Chabaria Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560001 (India)"
8960145b0dbffff,9,9,0.543,09:00–11:00,"Sankey Road, RV Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)"
8960145b103ffff,8,8,0.416,08:00–10:00,"Vatal Nagaraj Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b107ffff,7,7,0.356,07:00–09:00,"20th Main Road, Pride Pavilion Stage 1 Phase 6, Sri Mahaganapathi Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b10bffff,5,5,0.372,05:00–07:00,"41st Cross Road, ESI Hospital Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b10fffff,10,10,0.505,10:00–12:00,"Chord Road, Shivanahalli Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b113ffff,9,9,0.461,09:00–11:00,"Old Mysore Road, Bhashyam Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b11bffff,10,10,0.444,10:00–12:00,"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b123ffff,9,10,0.741,09:00–11:00,"13th Cross Road, SR Dinne, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)"
8960145b127ffff,1,2,1.0,01:00–03:00,"8th Main Road, Block 3 Stage 4, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)"
8960145b12bffff,1,2,0.929,01:00–03:00,"1st Main Road, Stage 1 Phase 5, Sri Mahaganapathi Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b133ffff,10,10,0.5,10:00–12:00,"1st Main Road, Stage 1 Phase 6, Sri Mahaganapathi Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b13bffff,1,1,0.615,01:00–03:00,"M Thimmaiah Road, Stage 1 Phase 5, Sri Mahaganapathi Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b143ffff,10,10,0.494,10:00–12:00,"7th Cross Road, Prakash Nagar, Bengaluru, Karnataka. Pin-560021 (India)"
8960145b147ffff,2,3,0.287,02:00–04:00,"17th Main Road, KPTCL Quarters, Block 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b14bffff,10,10,0.577,10:00–12:00,"5th Cross Road, Mariappanapalya, Prakash Nagar, Bengaluru, Karnataka. Pin-560021 (India)"
8960145b14fffff,8,9,0.662,08:00–10:00,"12th Main Road, Police Quarters, Block 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b153ffff,10,10,0.757,10:00–12:00,"7th Cross Road, Prakash Nagar, Bengaluru, Karnataka. Pin-560021 (India)"
8960145b157ffff,12,13,0.302,12:00–14:00,"10th Main Road, ESI Hospital Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b16bffff,8,8,0.378,08:00–10:00,"Padmabhushan Dr MC Modi Road, Phase 1, Manjunatha Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b16fffff,10,10,0.567,10:00–12:00,"Padmabhushan Dr MC Modi Road, Indiranagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b173ffff,9,10,0.474,09:00–11:00,"Chord Road, Shivanahalli Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b17bffff,5,6,0.302,05:00–07:00,"19th Main Road, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b183ffff,9,10,0.533,09:00–11:00,"80 Feet Ring Road, Gubbanna Industrial Estate, Block 6, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b187ffff,10,11,0.562,10:00–12:00,"80 Feet Ring Road, Block 6, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b18bffff,10,10,0.368,10:00–12:00,"80 Feet Ring Road, SSI Industrial Area, Block 5, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b18fffff,10,10,0.43,10:00–12:00,"80 Feet Ring Road, Sri SV Chenna Krishnaiah Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b193ffff,8,11,0.306,08:00–10:00,"G Narayana Kumar Road, Block C, KP Agrahara, Bengaluru, Karnataka. Pin-560023 (India)"
8960145b197ffff,10,11,0.429,10:00–12:00,"G Narayana Kumar Road, Purva Sunflower, Shankarappa Garden, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)"
8960145b19bffff,10,10,0.339,10:00–12:00,"80 Feet Ring Road, SSI Industrial Area, Block 5, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b1a3ffff,10,11,0.643,10:00–12:00,"Pramukh Swami Maharaj Road, Shri Balagangadharanath Swamiji Circle, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
8960145b1a7ffff,10,11,0.523,10:00–12:00,"1st Cross Road, Sindhya Sunshine Apartment, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
8960145b1abffff,8,8,0.369,08:00–10:00,"Pramukh Swami Maharaj Road, GEF Block, Industrial Town, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b1b3ffff,13,14,0.667,13:00–15:00,"4th Main Road, Rajajinagar IT Park, Industrial Estate, Rajaji Nagar, Bengaluru, Karnataka. Pin-560044 (India)"
8960145b1b7ffff,10,10,0.423,10:00–12:00,"Chord Road, Sindhya Sunshine Apartment, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
8960145b1bbffff,9,10,0.517,09:00–11:00,"72nd Cross Road, Sri SV Chenna Krishnaiah Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b1c3ffff,9,10,0.756,09:00–11:00,"80 Feet Ring Road, Block 4, Prakash Nagar, Bengaluru, Karnataka. Pin-560021 (India)"
8960145b1c7ffff,11,12,0.415,11:00–13:00,"Old Mysore Road, Block 4E, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b1cfffff,9,10,0.569,09:00–11:00,"46th Cross Road, Block 4, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b1d3ffff,11,11,0.55,11:00–13:00,"Old Mysore Road, Block 4N, Ramachandrapuram, Bengaluru, Karnataka. Pin-560021 (India)"
8960145b1d7ffff,9,9,0.471,09:00–11:00,"80 Feet Ring Road, Sri Jagadguru Renukacharya Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b207ffff,6,7,0.806,06:00–08:00,"Sir CV Raman Road, Sadashivanagar Junction, Armane Nagar, Bengaluru, Karnataka. Pin-560094 (India)"
8960145b213ffff,7,8,1.0,07:00–09:00,"5th Cross Road, Achaiah Chetty Layout, RMV Extension, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)"
8960145b233ffff,8,9,0.882,08:00–10:00,"11th Main Road, Sadashivanagar Junction, Armane Nagar, Bengaluru, Karnataka. Pin-560094 (India)"
8960145b237ffff,9,10,0.469,09:00–11:00,"Siddavanahalli Krishna Sharma Road, Sri Maramma Temple Circle, Indian Institute of Science, Bengaluru, Karnataka. Pin-560012 (India)"
8960145b243ffff,6,7,0.533,06:00–08:00,"1st Main Road, Dena Bank Colony, Ganga Nagar, Bengaluru, Karnataka. Pin-560032 (India)"
8960145b24bffff,8,9,1.0,08:00–10:00,"Cupa Road, D Type Quarters, UAS Campus, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)"
8960145b24fffff,6,6,0.369,06:00–08:00,"80 Feet Road, Ashwath Nagar, Armane Nagar, Bengaluru, Karnataka. Pin-560094 (India)"
8960145b253ffff,8,8,0.424,08:00–10:00,"Bellary Road, Dena Bank Colony, Ganga Nagar, Bengaluru, Karnataka. Pin-560032 (India)"
8960145b25bffff,10,10,0.555,10:00–12:00,"Bellary Road, HGH Layout, Ganga Nagar, Bengaluru, Karnataka. Pin-560032 (India)"
8960145b26bffff,10,11,0.619,10:00–12:00,"80 Feet Road, Block 2, Armane Nagar, Bengaluru, Karnataka. Pin-560094 (India)"
8960145b27bffff,11,12,1.0,11:00–13:00,"3rd Cross Road, Purva Atria Platina, Poojari Layout, Armane Nagar, Bengaluru, Karnataka. Pin-560094 (India)"
8960145b283ffff,12,13,0.538,12:00–14:00,"8th Main Road, Palace Orchard Apartment, RMV Extension, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)"
8960145b287ffff,8,9,0.396,08:00–10:00,"3rd Main Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)"
8960145b28bffff,11,11,0.337,11:00–13:00,"10th Main Road, Achaiah Chetty Layout, RMV Extension, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)"
8960145b28fffff,10,11,0.444,10:00–12:00,"13th Cross Road, Palace Orchard Apartment, RMV Extension, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)"
8960145b293ffff,9,10,0.667,09:00–11:00,"6th Main Road, Palace Ground, Jayamahal, Bengaluru, Karnataka. Pin-560080 (India)"
8960145b297ffff,7,8,0.752,07:00–09:00,"16th Cross Road, Palace Orchard Upper, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)"
8960145b2a7ffff,9,10,0.398,09:00–11:00,"Sri Venkataranga Ayangar Road, Ranganathapura, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
8960145b2afffff,8,9,0.588,08:00–10:00,"Sankey Road, Gokak Chaluvali Smaranartha Circle, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)"
8960145b2b3ffff,9,10,1.0,09:00–11:00,"16th Cross Road, Gayatri Devi Park Extension, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
8960145b2b7ffff,9,10,0.8,09:00–11:00,"2nd Temple Street, Kodandarampura, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
8960145b2bbffff,8,9,0.833,08:00–10:00,"3rd Main Road, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)"
8960145b2c7ffff,10,10,0.562,10:00–12:00,"Bellary Road, Enayathulla Mehkri Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)"
8960145b2cfffff,7,8,0.643,07:00–09:00,"Binny Mill Main Road, Embassy One, Ganga Nagar, Bengaluru, Karnataka. Pin-560032 (India)"
8960145b2d3ffff,3,3,1.0,03:00–05:00,"Jayamahal Main Road, Enayathulla Mehkri Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)"
8960145b2dbffff,6,7,0.44,06:00–08:00,"Taralabalu Road, Amale Layout, RT Nagar, Bengaluru, Karnataka. Pin-560032 (India)"
8960145b303ffff,8,9,0.421,08:00–10:00,"GP Rajarathnam Road, Block A, Subramanya Nagar Stage 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b307ffff,9,10,0.462,09:00–11:00,"80 Feet Ring Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b30bffff,4,5,1.0,04:00–06:00,"Pipeline Road, Brigade Gateway Residences, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)"
8960145b30fffff,9,9,0.503,09:00–11:00,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)"
8960145b313ffff,5,6,0.586,05:00–07:00,"16th Cross Road, Block A, Subramanya Nagar Stage 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b317ffff,0,1,0.625,00:00–02:00,"12th Main Road, Block A, Subramanya Nagar Stage 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b31bffff,6,7,1.0,06:00–08:00,"1st Cross Road, Milk Colony, Subramanya Nagar Stage 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560055 (India)"
8960145b323ffff,9,10,0.757,09:00–11:00,"1st Main Road, Block 1R, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b327ffff,12,12,0.764,12:00–14:00,"Sri Prasanna Veeranjaneya Temple Road, Mahalakshmi Layout, Bengaluru, Karnataka. Pin-560086 (India)"
8960145b32bffff,8,8,0.348,08:00–10:00,"Da Ra Bendre Road, Kirloskar Foundry, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)"
8960145b32fffff,6,7,0.55,06:00–08:00,"5th Cross Road, Sri Vasavi Garden, Mahalakshmi Layout, Bengaluru, Karnataka. Pin-560086 (India)"
8960145b333ffff,6,7,0.643,06:00–08:00,"19th Main Road, Dr M Munivenkataswamy Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b337ffff,7,8,0.641,07:00–09:00,"WOC Road, Bovipalya, Mahalakshmipuram, Bengaluru, Karnataka. Pin-560086 (India)"
8960145b33bffff,9,10,0.489,09:00–11:00,"Da Ra Bendre Road, Kirloskar Foundry, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)"
8960145b343ffff,8,9,0.769,08:00–10:00,"MS Ramaiah Road, Embassy Heritage Apartment, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)"
8960145b347ffff,6,7,0.875,06:00–08:00,"1st Cross Road, Renaissance Park 1, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)"
8960145b34bffff,7,8,0.862,07:00–09:00,"MS Ramaiah Road, PW Frames Colony, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)"
8960145b34fffff,7,8,0.459,07:00–09:00,"CV Raman Road, Samvidhana Circle, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)"
8960145b363ffff,6,7,0.592,06:00–08:00,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)"
8960145b367ffff,10,11,0.681,10:00–12:00,"1st Main Road, Lumos, Industrial Suburb, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)"
8960145b36bffff,0,1,0.301,00:00–02:00,"Mumbai Bengaluru Highway, Aparna Elina, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)"
8960145b36fffff,2,3,1.0,02:00–04:00,"1st Main Road, Lumos, Industrial Suburb, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)"
8960145b373ffff,9,9,0.424,09:00–11:00,"Chord Road, World Trade Centre, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)"
8960145b377ffff,9,10,0.4,09:00–11:00,"Da Ra Bendre Road, Kirloskar Foundry, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)"
8960145b37bffff,8,8,0.386,08:00–10:00,"Mumbai Bengaluru Highway, WTC Annexe, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)"
8960145b387ffff,6,7,1.0,06:00–08:00,"Padmabhushan Dr MC Modi Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b38bffff,6,6,0.722,06:00–08:00,"11th Main Road, MT Layout, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
8960145b38fffff,11,11,1.0,11:00–13:00,"7th Cross Road, Block 1N, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b393ffff,11,12,0.462,11:00–13:00,"11th Main Road, Kasturi Dham Apartment, Kadumalleshwara, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
8960145b397ffff,10,10,0.572,10:00–12:00,"5th Cross Road, Mariappanapalya, Prakash Nagar, Bengaluru, Karnataka. Pin-560021 (India)"
8960145b39bffff,5,6,0.933,05:00–07:00,"11th Main Road, Maruthi Extension Vinayaka Layout, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
8960145b3a3ffff,7,8,0.48,07:00–09:00,"80 Feet Ring Road, Block K, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b3a7ffff,8,8,0.441,08:00–10:00,"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b3abffff,6,6,0.33,06:00–08:00,"10th Cross Road, Dr Rajkumar Road 10th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b3afffff,7,8,0.546,07:00–09:00,"19th Main Road, Dr M Munivenkataswamy Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b3b3ffff,10,7,0.397,10:00–12:00,"5th Cross Road, Block 2 Stage 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b3b7ffff,8,8,0.445,08:00–10:00,"80 Feet Ring Road, Navarang Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
8960145b3c3ffff,4,5,1.0,04:00–06:00,"Mahakavi Kuvempu Road, Malleshwaram Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
